date,fear_and_greed_index
2020-01-02,97.0
2020-01-03,93.0
2020-01-06,93.0
2020-01-07,89.0
2020-01-08,92.0
2020-01-09,93.0
2020-01-10,91.0
2020-01-13,90.0
2020-01-14,90.0
2020-01-15,86.0
2020-01-16,89.0
2020-01-17,89.0
2020-01-21,81.0
2020-01-22,74.0
2020-01-23,68.0
2020-01-24,62.0
2020-01-27,47.0
2020-01-28,53.0
2020-01-29,52.0
2020-01-30,56.0
2020-01-31,44.0
2020-02-03,46.0
2020-02-04,55.0
2020-02-05,60.0
2020-02-06,63.0
2020-02-07,57.0
2020-02-10,57.0
2020-02-11,56.0
2020-02-12,60.0
2020-02-13,58.0
2020-02-14,55.0
2020-02-18,51.0
2020-02-19,53.0
2020-02-20,49.0
2020-02-21,44.0
2020-02-24,29.0
2020-02-25,22.0
2020-02-26,21.0
2020-02-27,13.0
2020-02-28,10.0
2020-03-02,12.0
2020-03-03,10.0
2020-03-04,15.0
2020-03-05,9.0
2020-03-06,6.0
2020-03-09,3.0
2020-03-10,6.0
2020-03-11,4.0
2020-03-12,2.0
2020-03-13,5.0
2020-03-16,3.0
2020-03-17,5.0
2020-03-18,5.0
2020-03-19,7.0
2020-03-20,8.0
2020-03-23,5.0
2020-03-24,13.0
2020-03-25,17.0
2020-03-26,22.0
2020-03-27,23.0
2020-03-30,25.0
2020-03-31,25.0
2020-04-01,22.0
2020-04-02,22.0
2020-04-03,22.0
2020-04-06,32.0
2020-04-07,26.0
2020-04-08,33.0
2020-04-09,43.0
2020-04-13,36.0
2020-04-14,45.0
2020-04-15,41.0
2020-04-16,42.0
2020-04-17,44.0
2020-04-20,41.0
2020-04-21,40.0
2020-04-22,41.0
2020-04-23,40.0
2020-04-24,39.0
2020-04-27,43.0
2020-04-28,41.0
2020-04-29,46.0
2020-04-30,47.0
2020-05-01,42.0
2020-05-04,44.0
2020-05-05,44.0
2020-05-06,40.0
2020-05-07,41.0
2020-05-08,45.0
2020-05-11,44.0
2020-05-12,38.0
2020-05-13,38.0
2020-05-14,39.0
2020-05-15,39.0
2020-05-18,49.0
2020-05-19,47.0
2020-05-20,53.0
2020-05-21,52.0
2020-05-22,50.0
2020-05-26,51.0
2020-05-27,54.0
2020-05-28,50.0
2020-05-29,52.0
2020-06-01,58.0
2020-06-02,58.0
2020-06-03,61.0
2020-06-04,62.0
2020-06-05,66.0
2020-07-09,53.0
2020-07-10,59.0
2020-07-13,53.0
2020-07-14,62.0
2020-07-15,63.0
2020-07-16,62.0
2020-07-17,63.0
2020-07-20,66.0
2020-07-21,65.0
2020-07-22,65.0
2020-07-23,68.0
2020-07-24,63.0
2020-07-27,66.0
2020-07-28,62.0
2020-07-29,65.0
2020-07-30,61.0
2020-07-31,65.0
2020-08-03,67.0
2020-08-04,68.0
2020-08-05,70.0
2020-08-06,74.0
2020-08-07,72.0
2020-08-10,75.0
2020-08-11,71.0
2020-08-12,74.0
2020-08-13,72.0
2020-08-14,72.0
2020-08-17,71.0
2020-08-18,70.0
2020-08-19,68.0
2020-08-20,70.0
2020-08-21,70.0
2020-08-24,73.0
2020-08-25,74.0
2020-08-26,75.0
2020-08-27,76.0
2020-08-28,78.0
2020-08-31,74.0
2020-09-01,77.0
2020-09-02,78.0
2020-09-03,58.0
2020-09-04,59.0
2020-09-08,54.0
2020-09-09,66.0
2020-09-10,59.0
2020-09-11,58.0
2020-09-14,59.0
2020-09-15,59.0
2020-09-16,56.0
2020-09-17,53.0
2020-09-18,52.0
2020-09-21,51.0
2020-09-22,52.0
2020-09-23,46.0
2020-09-24,48.0
2020-09-25,49.0
2020-09-28,50.0
2020-09-29,44.0
2020-09-30,45.0
2020-10-01,41.0
2020-10-02,40.0
2020-10-05,45.0
2020-10-06,44.0
2020-10-07,51.0
2020-10-08,53.0
2020-10-09,55.0
2020-10-12,60.0
2020-10-13,56.0
2020-10-14,55.0
2020-10-15,59.0
2020-10-16,62.0
2020-10-19,59.0
2020-10-20,58.0
2020-10-21,63.0
2020-10-22,69.0
2020-10-23,67.0
2020-10-26,44.0
2020-10-27,47.0
2020-10-28,33.0
2020-10-29,33.0
2020-10-30,29.0
2020-11-02,25.0
2020-11-03,32.0
2020-11-04,36.0
2020-11-05,41.0
2020-11-06,40.0
2020-11-09,54.0
2020-11-10,58.0
2020-11-11,66.0
2020-11-12,55.0
2020-11-13,59.0
2020-11-16,71.0
2020-11-17,67.0
2020-11-18,63.0
2020-11-19,64.0
2020-11-20,62.0
2020-11-23,75.0
2020-11-24,88.0
2020-11-25,91.0
2020-11-27,92.0
2020-11-30,88.0
2020-12-01,85.0
2020-12-02,87.0
2020-12-03,85.0
2020-12-04,89.0
2020-12-07,88.0
2020-12-08,82.0
2020-12-09,80.0
2020-12-10,77.0
2020-12-11,76.0
2020-12-14,69.0
2020-12-15,69.0
2020-12-16,69.0
2020-12-17,71.0
2020-12-18,63.0
2020-12-21,63.0
2020-12-22,59.0
2020-12-23,57.0
2020-12-24,54.0
2020-12-28,54.0
2020-12-29,52.0
2020-12-30,50.0
2020-12-31,51.0
