date,fear_and_greed_index
2014-01-02,71.0
2014-01-03,66.0
2014-01-06,64.0
2014-01-07,67.0
2014-01-08,64.0
2014-01-09,68.0
2014-01-10,66.0
2014-01-13,61.0
2014-01-14,68.0
2014-01-15,65.0
2014-01-16,63.0
2014-01-17,59.0
2014-01-21,62.0
2014-01-22,45.0
2014-01-23,46.0
2014-01-24,27.0
2014-01-27,25.0
2014-01-28,29.0
2014-01-29,20.0
2014-01-30,18.0
2014-01-31,20.0
2014-02-03,13.0
2014-02-04,15.0
2014-02-05,20.0
2014-02-06,17.0
2014-02-07,22.0
2014-02-10,28.0
2014-02-11,29.0
2014-02-12,32.0
2014-02-13,32.0
2014-02-14,30.0
2014-02-18,42.0
2014-02-19,39.0
2014-02-20,45.0
2014-02-21,48.0
2014-02-24,55.0
2014-02-25,57.0
2014-02-26,58.0
2014-02-27,62.0
2014-02-28,56.0
2014-03-03,63.0
2014-03-04,66.0
2014-03-05,78.0
2014-03-06,80.0
2014-03-07,81.0
2014-03-10,81.0
2014-03-11,76.0
2014-03-12,57.0
2014-03-13,49.0
2014-03-14,44.0
2014-03-17,49.0
2014-03-18,51.0
2014-03-19,53.0
2014-03-20,54.0
2014-03-21,56.0
2014-03-24,49.0
2014-03-25,43.0
2014-03-26,43.0
2014-03-27,34.0
2014-03-28,36.0
2014-03-31,50.0
2014-04-01,51.0
2014-04-02,53.0
2014-04-03,51.0
2014-04-04,49.0
2014-04-07,35.0
2014-04-08,34.0
2014-04-09,31.0
2014-04-10,31.0
2014-04-11,21.0
2014-04-14,23.0
2014-04-15,23.0
2014-04-16,28.0
2014-04-17,28.0
2014-04-21,38.0
2014-04-22,40.0
2014-04-23,40.0
2014-04-24,39.0
2014-04-25,35.0
2014-04-28,34.0
2014-04-29,34.0
2014-04-30,33.0
2014-05-01,30.0
2014-05-02,32.0
2014-05-05,34.0
2014-05-06,34.0
2014-05-07,33.0
2014-05-08,33.0
2014-05-09,42.0
2014-05-12,45.0
2014-05-13,39.0
2014-05-14,38.0
2014-05-15,28.0
2014-05-16,28.0
2014-05-19,26.0
2014-05-20,21.0
2014-05-21,29.0
2014-05-22,36.0
2014-05-23,37.0
2014-05-27,40.0
2014-05-28,42.0
2014-05-29,42.0
2014-05-30,45.0
2014-06-02,58.0
2014-06-03,66.0
2014-06-04,66.0
2014-06-05,81.0
2014-06-06,81.0
2014-06-09,89.0
2014-06-10,90.0
2014-06-11,88.0
2014-06-12,83.0
2014-06-13,85.0
2014-06-16,87.0
2014-06-17,88.0
2014-06-18,94.0
2014-06-19,95.0
2014-06-20,95.0
2014-06-23,93.0
2014-06-24,83.0
2014-06-25,83.0
2014-06-26,77.0
2014-06-27,76.0
2014-06-30,87.0
2014-07-01,87.0
2014-07-02,87.0
2014-07-03,86.0
2014-07-07,68.0
2014-07-08,74.0
2014-07-09,62.0
2014-07-10,56.0
2014-07-11,57.0
2014-07-14,59.0
2014-07-15,56.0
2014-07-16,55.0
2014-07-17,32.0
2014-07-18,46.0
2014-07-21,37.0
2014-07-22,38.0
2014-07-23,39.0
2014-07-24,42.0
2014-07-25,34.0
2014-07-28,34.0
2014-07-29,31.0
2014-07-30,26.0
2014-07-31,10.0
2014-08-01,5.0
2014-08-04,5.0
2014-08-05,5.0
2014-08-06,5.0
2014-08-07,5.0
2014-08-08,10.0
2014-08-11,7.0
2014-08-12,8.0
2014-08-13,13.0
2014-08-14,16.0
2014-08-15,14.0
2014-08-18,26.0
2014-08-19,31.0
2014-08-20,37.0
2014-08-21,36.0
2014-08-22,37.0
2014-08-25,35.0
2014-08-26,36.0
2014-08-27,33.0
2014-08-28,33.0
2014-08-29,41.0
2014-09-02,48.0
2014-09-03,48.0
2014-09-04,47.0
2014-09-05,50.0
2014-09-08,47.0
2014-09-09,42.0
2014-09-10,45.0
2014-09-11,44.0
2014-09-12,43.0
2014-09-15,38.0
2014-09-16,37.0
2014-09-17,42.0
2014-09-18,37.0
2014-09-19,36.0
2014-09-22,22.0
2014-09-23,18.0
2014-09-24,17.0
2014-09-25,8.0
2014-09-26,13.0
2014-09-29,11.0
2014-09-30,12.0
2014-10-01,7.0
2014-10-02,3.0
2014-10-03,5.0
2014-10-06,5.0
2014-10-07,6.0
2014-10-08,4.0
2014-10-09,3.0
2014-10-10,1.0
2014-10-13,0.0
2014-10-14,2.0
2014-10-15,1.0
2014-10-16,2.0
2014-10-17,7.0
2014-10-20,5.0
2014-10-21,7.0
2014-10-22,8.0
2014-10-23,11.0
2014-10-24,13.0
2014-10-27,16.0
2014-10-28,21.0
2014-10-29,25.0
2014-10-30,31.0
2014-10-31,32.0
2014-11-03,40.0
2014-11-04,40.0
2014-11-05,49.0
2014-11-06,49.0
2014-11-07,55.0
2014-11-10,57.0
2014-11-11,58.0
2014-11-12,56.0
2014-11-13,54.0
2014-11-14,53.0
2014-11-17,53.0
2014-11-18,54.0
2014-11-19,55.0
2014-11-20,59.0
2014-11-21,59.0
2014-11-24,62.0
2014-11-25,62.0
2014-11-26,63.0
2014-11-28,59.0
2014-12-01,55.0
2014-12-02,55.0
2014-12-03,59.0
2014-12-04,59.0
2014-12-05,61.0
2014-12-08,55.0
2014-12-09,46.0
2014-12-10,41.0
2014-12-11,37.0
2014-12-12,31.0
2014-12-15,22.0
2014-12-16,19.0
2014-12-17,21.0
2014-12-18,33.0
2014-12-19,33.0
2014-12-22,43.0
2014-12-23,45.0
2014-12-24,47.0
2014-12-26,48.0
2014-12-29,47.0
2014-12-30,47.0
2014-12-31,45.0
